Hawaii State Legislature,http://dbpedia.org/resource/Hawaii_State_Legislature,Hawaii State Legislature
Hawaii State Public Library,http://dbpedia.org/resource/Hawaii_State_Public_Library_System,Hawaii State Public Library System
Hawaii State Public Library System,http://dbpedia.org/resource/Hawaii_State_Public_Library_System,Hawaii State Public Library System
Health,http://dbpedia.org/resource/Disease,Disease
Janet,http://dbpedia.org/resource/Janet_Jackson,Janet Jackson
Juliet,http://dbpedia.org/resource/Romeo_and_Juliet,Romeo and Juliet
Kaisa,http://dbpedia.org/resource/Caesar_(title),Caesar (title)
Kanoe,http://dbpedia.org/resource/Kanoê_language,Kanoê language
karen,http://dbpedia.org/resource/Pete_Townshend,Pete Townshend
Kathy,http://dbpedia.org/resource/Baby_boomer,Baby boomer
Kayla,http://dbpedia.org/resource/Touch_(TV_series),Touch (TV series)
Ken,http://dbpedia.org/resource/Kenya,Kenya
Kevin,http://dbpedia.org/resource/Kevin_Rudd,Kevin Rudd
Les,http://dbpedia.org/resource/Lesbian,Lesbian
Lisi,http://dbpedia.org/resource/Furosemide,Furosemide
maggi,http://dbpedia.org/resource/Margaret_Thatcher,Margaret Thatcher
Mark,http://dbpedia.org/resource/Marketing,Marketing
Michael Christopher,http://dbpedia.org/resource/Mike_Phelan,Mike Phelan
Molly,http://dbpedia.org/resource/Malayalam_cinema,Malayalam cinema
Nathan,http://dbpedia.org/resource/Brahma,Brahma
Nathaniel,http://dbpedia.org/resource/Nat_King_Cole,Nat King Cole
nick,http://dbpedia.org/resource/Nickelodeon,Nickelodeon
OIMT,http://dbpedia.org/resource/Tabas_Airport,Tabas Airport
Partha,http://dbpedia.org/resource/Arjuna,Arjuna
Paul,http://dbpedia.org/resource/Paul_McCartney,Paul McCartney
PSD,http://dbpedia.org/resource/Adobe_Photoshop,Adobe Photoshop
queen bee,http://dbpedia.org/resource/Lil'_Kim,Lil' Kim
Randy,http://dbpedia.org/resource/Randy_Orton,Randy Orton
RT,http://dbpedia.org/resource/Raidió_Teilifís_Éireann,Raidió Teilifís Éireann
Ruderman,http://dbpedia.org/resource/RKKY_interaction,RKKY interaction
Russell,http://dbpedia.org/resource/Bertrand_Russell,Bertrand Russell
sakurai,http://dbpedia.org/resource/Masahiro_Sakurai,Masahiro Sakurai
Scott,http://dbpedia.org/resource/Scotland,Scotland
sjo,http://dbpedia.org/resource/Dmitri_Shostakovich,Dmitri Shostakovich
Socrata,http://dbpedia.org/resource/Socrata,Socrata
Sophie,http://dbpedia.org/resource/Catherine_the_Great,Catherine the Great
Toodle,http://dbpedia.org/resource/Woodwind_instrument,Woodwind instrument
Tsurumi,http://dbpedia.org/resource/Tsurumi_Station,Tsurumi Station
will,http://dbpedia.org/resource/United_States,United States
Willy,http://dbpedia.org/resource/Penis,Penis
